symbol,date,open,high,low,close,candle_name,strength_percentage
HRL,2024-12-29,801.0,805.0,793.0,796.0,SHORTLINE,56.0
HURJA,2024-12-29,226.5,230.9,224.0,224.4,INVERTEDHAMMER,68.0
HYDROPOWER,2024-12-29,3490.88,3493.21,3420.18,3434.32,BELTHOLD,66.0
ICFC,2024-12-29,651.7,670.9,651.7,652.1,DOJISTAR,80.0
ICFCD83,2024-12-29,1325.0,1325.0,1325.0,1325.0,DOJI,58.0
ICFCPO,2024-12-26,369.0,369.0,369.0,369.0,TRISTAR,62.0
IGI,2024-12-29,572.0,582.0,570.0,571.1,SHOOTINGSTAR,65.0
IGIPO,2024-12-22,310.0,310.0,310.0,310.0,TRISTAR,62.0
IHL,2024-12-29,662.0,668.8,647.0,650.0,,
ILBS,2024-12-29,959.9,1005.0,942.0,965.0,SPINNINGTOP,57.0
ILI,2024-12-29,470.0,472.0,465.0,470.5,HAMMER,68.0
INVESTMENT,2024-12-29,99.0,99.63,98.38,98.75,HAMMER,68.0
JALPA,2024-07-10,1465.0,1480.0,1430.0,1442.1,,
JBBL,2024-12-29,361.1,366.9,356.0,359.9,DOJISTAR,80.0
JBBLPO,2024-12-03,204.0,204.0,204.0,204.0,DOJI,58.0
JBLB,2024-12-29,1525.0,1575.0,1525.0,1571.0,LONGLINE,70.0
JFL,2024-12-29,907.5,907.5,833.4,833.4,CLOSINGMARUBOZU,75.0
JFLPO,2024-09-10,349.0,349.0,349.0,349.0,DOJISTAR,80.0
JOSHI,2024-12-29,451.1,451.1,414.3,420.0,LONGLINE,70.0
JSLBB,2024-12-29,1610.1,1730.0,1609.0,1661.9,BELTHOLD,66.0
JSLBBP,2024-04-02,546.0,546.0,546.0,546.0,DOJI,58.0
KBL,2024-12-29,224.0,225.4,218.7,219.3,SHORTLINE,56.0
KBLD86,2024-12-24,1136.1,1136.1,1136.1,1136.1,DOJI,58.0
KBLD90,2024-12-24,1141.0,1141.0,1141.0,1141.0,DOJI,58.0
KBLPO,2024-12-19,100.0,100.0,100.0,100.0,TRISTAR,62.0
KBSH,2024-12-29,2600.0,2600.0,2450.0,2537.0,BELTHOLD,66.0
KDBY,2024-12-29,9.05,9.55,9.05,9.55,DOJISTAR,80.0
KDL,2024-12-29,1135.0,1148.0,1119.9,1119.9,,
KEF,2024-12-29,8.76,8.98,8.76,8.85,INVERTEDHAMMER,68.0
KKHC,2024-12-29,382.0,383.0,366.0,367.9,CLOSINGMARUBOZU,75.0
KLBSL,2024-07-10,1051.5,1113.1,1051.5,1070.0,BELTHOLD,66.0
KMCDB,2024-12-29,1080.2,1130.0,1080.2,1107.0,BELTHOLD,66.0
KPCL,2024-12-29,524.9,530.0,521.0,524.9,LONGLEGGEDDOJI,62.0
KRBL,2024-12-24,792.0,834.0,780.0,810.0,,
KSBBL,2024-12-29,433.0,442.0,430.0,432.9,INVERTEDHAMMER,68.0
KSBBLP,2024-12-22,186.0,186.0,186.0,186.0,DOJI,58.0
KSLY,2024-11-26,11.73,11.73,11.73,11.73,DOJI,58.0
KSY,2024-12-29,8.84,9.19,8.84,9.0,INVERTEDHAMMER,68.0
LBBL,2024-12-29,485.0,485.0,473.7,473.7,CLOSINGMARUBOZU,75.0
LBBLD89,2024-12-12,1255.0,1255.0,1255.0,1255.0,DOJI,58.0
LBBLPO,2024-10-27,261.0,261.0,261.0,261.0,DOJI,58.0
LBLD86,2024-12-23,1135.0,1135.0,1135.0,1135.0,TRISTAR,62.0
LEC,2024-12-29,206.0,206.0,199.0,199.1,CLOSINGMARUBOZU,75.0
LEMF,2024-06-09,9.6,9.76,9.47,9.47,DOJISTAR,80.0
LICN,2024-12-29,1136.0,1160.0,1130.0,1145.0,MORNINGSTAR,80.0
LIFEINSU,2024-12-29,12493.74,12519.35,12408.94,12444.33,,
LLBS,2024-12-29,1090.1,1171.0,1090.0,1124.0,BELTHOLD,66.0
LSL,2024-12-29,239.2,244.8,238.0,239.0,INVERTEDHAMMER,68.0
LUK,2024-12-29,9.31,9.49,9.31,9.41,DOJI,58.0
LVF2,2024-12-29,9.0,9.06,9.0,9.06,GAPSIDESIDEWHITE,70.0
MAKAR,2024-12-29,607.0,619.0,597.0,602.0,,
MANDU,2024-12-29,892.0,910.0,882.0,882.1,SHOOTINGSTAR,65.0
MANUFACTURE,2024-12-29,6822.26,6859.85,6756.19,6762.54,,
MATRI,2024-12-29,1255.0,1320.0,1247.1,1280.0,,
MBJC,2024-12-29,334.0,335.0,328.2,330.0,DOJI,58.0
MBL,2024-12-29,238.3,245.0,236.0,238.1,INVERTEDHAMMER,68.0
MBLD2085,2024-11-14,1111.8,1170.0,1111.8,1170.0,CLOSINGMARUBOZU,75.0
MBLPO,2024-05-21,113.0,113.0,113.0,113.0,DOJI,58.0
MCHL,2024-12-29,620.0,628.0,600.0,606.0,,
MDB,2024-12-29,700.0,714.0,691.0,695.8,SPINNINGTOP,57.0
MDBPO,2024-11-27,379.0,379.0,379.0,379.0,DOJI,58.0
MEHL,2024-12-29,463.6,475.0,458.2,460.0,SHOOTINGSTAR,65.0
MEL,2024-12-29,310.7,316.0,307.2,315.8,SHORTLINE,56.0
MEN,2024-12-29,625.0,625.0,605.0,608.0,LONGLINE,70.0
MERO,2024-12-29,718.0,764.6,718.0,733.0,BELTHOLD,66.0
MFIL,2024-12-29,670.0,670.0,650.0,650.0,CLOSINGMARUBOZU,75.0
MFILPO,2024-06-23,267.6,267.6,267.6,267.6,DOJISTAR,80.0
MFLD85,2024-12-29,1100.0,1102.0,1085.0,1085.0,CLOSINGMARUBOZU,75.0
MHCL,2024-12-29,532.0,539.0,516.2,527.3,SPINNINGTOP,57.0
MHL,2024-12-29,872.0,875.0,832.1,850.0,,
MHNL,2024-12-29,260.0,267.0,258.8,260.0,DOJISTAR,80.0
MICROFINANCE,2024-12-29,4921.9,5033.01,4909.42,4977.97,MORNINGSTAR,80.0
