symbol,date,open,high,low,close,Candles_Present,Max_Candle_Strength
MNBBLP,2024-12-29,221.0,221.0,221.0,221.0,"DOJI,SHORTLINE",0.5
MPFLPO,2024-03-14,202.0,202.0,202.0,202.0,"DOJI,SHORTLINE",0.5
MSLB,2024-12-29,1490.0,1590.0,1490.0,1564.0,BELTHOLD,1.0
MUTUAL,2024-12-29,20.31,20.36,20.17,20.34,"DOJI,HAMMER,LONGLEGGEDDOJI,SHORTLINE,TAKURI",0.2
NABIL,2024-12-29,504.1,508.9,499.0,502.7,"DOJI,DOJISTAR,HIGHWAVE,LONGLEGGEDDOJI,RICKSHAWMAN,SPINNINGTOP",0.5
NABILD87,2024-12-29,1070.0,1070.0,1070.0,1070.0,"DOJI,SHORTLINE",0.5
NABILP,2024-10-27,301.1,301.1,301.1,301.1,"DOJI,SHORTLINE,TRISTAR",1.0
NADDF,2024-12-17,10.41,10.41,10.41,10.41,"DOJI,SHORTLINE",0.5
NADEP,2024-12-29,942.0,959.0,926.1,947.0,"HIGHWAVE,SPINNINGTOP",0.5
NBBD2085,2024-11-20,1195.0,1195.0,1195.0,1199.9,SHORTLINE,1.0
NBF2,2024-12-29,9.69,9.69,9.5,9.68,"DOJI,HAMMER,LONGLEGGEDDOJI,SHORTLINE,TAKURI",0.33
NBF3,2024-12-29,9.5,9.65,9.0,9.4,"DOJI,HAMMER,HANGINGMAN,INVERTEDHAMMER,LONGLEGGEDDOJI,MATCHINGLOW,RICKSHAWMAN,SHORTLINE,SPINNINGTOP,TAKURI",0.25
NBLD82,2024-11-24,1096.6,1174.0,1096.6,1172.0,"BELTHOLD,LONGLINE",0.5
NBLD85,2024-12-29,1049.0,1050.0,1049.0,1050.0,"DOJI,SHORTLINE",0.5
NBLD87,2024-12-29,1064.0,1064.0,1064.0,1064.0,"DOJI,SHORTLINE",0.5
NCCD86,2024-12-29,1156.0,1156.0,1156.0,1156.0,"DOJI,SHORTLINE",0.5
NFCF,2024-12-12,11.43,11.43,11.43,11.43,"DOJI,SHORTLINE",0.5
NFSPO,2024-08-25,163.0,163.0,163.0,163.0,"DOJI,DOJISTAR,SHORTLINE",0.33
NIBD2082,2024-12-24,1144.0,1150.9,1144.0,1151.0,SHORTLINE,1.0
NIBD84,2024-12-29,1033.0,1043.2,1033.0,1043.1,"BELTHOLD,CLOSINGMARUBOZU,LONGLINE,MARUBOZU",0.25
NIBLGF,2024-12-29,8.7,8.87,8.66,8.87,"DOJI,SHORTLINE",0.5
NIBLSF,2024-11-25,11.21,11.21,11.21,11.21,"DOJI,SHORTLINE",0.5
NIBSF2,2024-12-29,8.45,8.6,8.44,8.5,"DOJI,INVERTEDHAMMER,LONGLEGGEDDOJI,SHORTLINE,TRISTAR",0.33
NICAD 85/86,2024-05-08,1014.0,1015.2,1014.0,1015.1,SHORTLINE,1.0
NICAD8182,2024-12-29,1056.3,1056.3,1056.3,1056.3,"DOJI,SHORTLINE",0.5
NICAD8283,2024-12-24,1062.1,1083.3,1062.1,1083.3,"BELTHOLD,CLOSINGMARUBOZU,LONGLINE,MARUBOZU",0.25
NICAP,2024-06-18,331.3,331.3,331.3,331.3,"DOJI,SHORTLINE",0.5
NICBF,2024-12-29,9.0,9.22,9.0,9.22,"DOJI,SHORTLINE",0.5
