symbol,date,open,high,low,close,Candles_Present,Signal,Bullish_Count,Bearish_Count,Signal_Strength
CHDC,2024-12-29,1551.0,1640.0,1551.0,1570.1,['CDLBELTHOLD'],Bullish,1,0,1
CHL,2024-12-29,400.0,404.0,390.0,390.5,['CDLSHORTLINE'],Bearish,0,1,-1
CITY,2024-12-29,879.0,892.0,865.0,865.0,['CDLCLOSINGMARUBOZU'],Bullish,1,0,1
CIZBD86,2024-12-29,1131.1,1131.1,1131.0,1131.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
CIZBD90,2024-12-29,1150.0,1173.0,1150.0,1150.0,"['CDLDOJI', 'CDLGRAVESTONEDOJI', 'CDLLONGLEGGEDDOJI', 'CDLSHOOTINGSTAR']",Bearish,0,1,-1
CKHL,2024-12-29,749.8,754.0,715.0,717.0,"['CDLCLOSINGMARUBOZU', 'CDLLONGLINE']",Bullish,2,0,2
CMF1,2024-12-29,10.4,10.59,10.4,10.5,"['CDLDOJI', 'CDLDOJISTAR', 'CDLSHORTLINE']",Bearish,0,1,-1
CMF2,2024-12-29,9.35,9.58,9.35,9.58,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
CZBIL,2024-12-29,228.0,228.2,220.5,221.9,['CDLSHORTLINE'],Bearish,0,1,-1
CZBILP,2024-09-29,102.0,102.0,102.0,102.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
DDBL,2024-12-29,880.0,888.4,873.2,873.2,"['CDLSHOOTINGSTAR', 'CDLSHORTLINE']",Bearish,0,2,-2
DEVBANK,2024-12-29,5356.92,5359.43,5215.96,5223.76,"['CDLBELTHOLD', 'CDLLONGLINE']",Bullish,2,0,2
DHPL,2024-12-29,303.0,310.0,300.0,300.3,"['CDLDOJI', 'CDLDOJISTAR', 'CDLGRAVESTONEDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish,1,1,0
DLBS,2024-12-29,1670.0,1836.0,1670.0,1760.0,['CDLBELTHOLD'],Bullish,1,0,1
DOLTI,2024-12-29,669.0,690.0,669.0,685.0,['CDLSHORTLINE'],Bearish,0,1,-1
DORDI,2024-12-29,530.1,540.0,514.0,514.0,['CDLSHORTLINE'],Bearish,0,1,-1
EBL,2024-12-29,585.0,589.9,580.0,583.0,"['CDLDOJI', 'CDLHANGINGMAN', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHOOTINGSTAR', 'CDLSHORTLINE', 'CDLSPINNINGTOP']",Bearish,0,2,-2
EBLD86,2024-12-29,1043.0,1043.0,1043.0,1043.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
