id,date,symbol,open,high,low,close,volume,ltp,previous_closing,RSI_6,RSI_14,SMA_20,EMA_20
1875771,2024-02-06,NABIL,479.0,484.0,475.0,475.0,62626.0,475.0,475.0,17.550413066364563,26.877636852118197,488.505,486.9029280864293
1875772,2024-02-07,NABIL,484.5,484.5,474.5,475.1,72757.0,475.1,475.0,18.225243750149986,27.074155228598425,487.76000000000005,485.7788396972456
1875773,2024-02-08,NABIL,476.0,480.0,475.0,476.5,40791.0,476.5,475.1,28.110362932567313,29.91401471073199,486.985,484.8951406784603
1875774,2024-02-11,NABIL,486.0,486.0,474.5,475.0,87081.0,475.0,476.5,24.329127978197647,28.62769288388558,486.08500000000004,483.95274632813073
1875775,2024-02-12,NABIL,476.0,477.0,474.0,477.0,48708.0,477.0,475.0,37.730837955036826,32.77826598494038,485.21000000000004,483.2905800111659
1875776,2024-02-13,NABIL,477.0,479.9,469.1,471.5,83243.0,471.5,477.0,23.813247711760706,27.962440110878457,483.735,482.1676676291501
1875777,2024-02-14,NABIL,471.5,471.5,464.5,465.5,63187.0,465.5,471.5,16.058804576168036,23.846389725954598,481.81000000000006,480.5802707120882
1875778,2024-02-15,NABIL,465.0,466.0,462.0,462.5,51339.0,462.5,465.5,13.43404244083428,22.095106446213926,480.035,478.8583401680798
1875779,2024-02-18,NABIL,456.0,465.0,455.5,457.7,65595.0,457.7,462.5,10.225192204296674,19.61319249312257,478.2700000000001,476.8432601520722
1875780,2024-02-20,NABIL,456.0,460.0,448.0,449.0,90305.0,449.0,457.7,6.729226624558575,16.086185014987215,476.2700000000001,474.1915210899701
1875781,2024-02-21,NABIL,450.0,454.8,448.0,449.0,61605.0,449.0,449.0,6.729226624558575,16.086185014987215,474.49500000000006,471.792328605211
1875782,2024-02-22,NABIL,450.0,452.9,443.0,445.0,62441.0,445.0,449.0,5.487156197516526,14.678664482530381,472.5000000000001,469.24067826185757
1875783,2024-02-25,NABIL,445.0,445.0,434.0,436.5,68284.0,436.5,445.0,3.7310457631008944,12.229800471209137,469.92500000000007,466.12251842739494
1875784,2024-02-26,NABIL,436.5,440.0,430.1,434.0,63611.0,434.0,436.5,3.3523768427595884,11.615982176356253,467.0750000000001,463.0632309581192
1875785,2024-02-27,NABIL,434.0,440.0,432.5,437.8,44089.0,437.8,434.0,18.449099610597237,18.32612678660884,464.56500000000005,460.65720896210786
1875786,2024-02-28,NABIL,442.0,442.0,435.0,435.0,32394.0,435.0,437.8,16.21019576458392,17.284812265576914,461.96500000000003,458.21366525143094
1875787,2024-02-29,NABIL,435.0,435.0,429.0,429.5,84087.0,429.5,435.0,12.604611593577586,15.430127540749664,459.21000000000004,455.47903046558037
1875788,2024-03-03,NABIL,429.5,432.0,422.0,424.0,57099.0,424.0,429.5,9.94907963743497,13.831790005805319,456.38,452.4810275640965
1875789,2024-03-04,NABIL,432.4,458.3,432.0,458.3,14359.0,458.3,424.0,65.05113590489064,49.183952218087704,455.445,453.0352154151349
1875790,2024-03-05,NABIL,459.0,459.0,435.0,446.0,85486.0,446.0,458.3,51.49250329836349,42.45705955752596,453.995,452.3651948994078
1875791,2024-03-06,NABIL,448.0,450.0,440.0,442.0,46408.0,442.0,446.0,47.61921877394305,40.51634826600407,452.34499999999997,451.3780334804166
1875792,2024-03-07,NABIL,450.0,450.0,442.0,445.5,27778.0,445.5,442.0,51.45348899995316,42.97267837028896,450.86499999999995,450.81822076799597
1875793,2024-03-10,NABIL,448.0,451.0,447.0,449.8,38263.0,449.8,445.5,56.18220195935959,45.92697996756796,449.5299999999999,450.72124736152017
1875794,2024-03-12,NABIL,458.7,470.0,455.0,469.0,62909.0,469.0,449.8,71.20875557190726,56.71072524624916,449.2299999999999,452.4620809461373
1875795,2024-03-13,NABIL,477.0,479.9,467.0,473.0,66733.0,473.0,469.0,73.48220960683827,58.564696373718604,449.0299999999999,454.41807323698134
1875796,2024-03-14,NABIL,480.0,480.0,468.3,471.9,48287.0,471.9,473.0,71.61604472252877,57.831192884132165,449.0499999999999,456.0830186429831
1875797,2024-03-17,NABIL,478.0,480.0,462.0,464.0,51485.0,464.0,471.9,58.756165164315775,52.72387703816087,448.9749999999999,456.83701686746093
1875798,2024-03-18,NABIL,473.0,473.0,459.0,461.0,36185.0,461.0,464.0,54.31192826440113,50.88603563885529,448.8999999999999,457.2334914515123
1875799,2024-03-19,NABIL,460.0,462.0,456.0,460.0,34096.0,460.0,461.0,52.7169526524042,50.25716387265826,449.0149999999999,457.49696845613016
1875800,2024-03-20,NABIL,463.0,465.0,456.0,457.0,31882.0,457.0,460.0,47.67654039245669,48.327576559906596,449.41499999999985,457.4496381269749
1875801,2024-03-21,NABIL,459.9,459.9,449.0,451.0,46500.0,451.0,457.0,38.778106098555924,44.63635699113357,449.5149999999999,456.8353868767868
1875802,2024-03-25,NABIL,458.0,458.0,444.4,445.0,33441.0,445.0,451.0,31.682232280975747,41.24386448741796,449.5149999999999,455.70820717423567
1875803,2024-03-26,NABIL,445.1,448.0,440.0,441.8,40492.0,441.8,445.0,28.36085245135938,39.51875440562832,449.77999999999986,454.38361601478465
1875804,2024-03-27,NABIL,442.0,447.0,440.0,440.5,30220.0,440.5,441.8,26.981898104774686,38.80858280194619,450.10499999999985,453.06136687051946
1875805,2024-03-28,NABIL,442.0,444.0,440.0,442.5,32919.0,442.5,440.5,32.99636147281736,40.577795871948325,450.33999999999986,452.0555224066605
1875806,2024-03-31,NABIL,443.0,448.0,437.9,440.0,55639.0,440.0,442.5,29.36784065594243,39.05763258595347,450.58999999999986,450.90737741554994
1875807,2024-04-01,NABIL,437.0,439.0,432.0,439.0,44256.0,439.0,440.0,27.89540129901135,38.437335507468354,451.0649999999999,449.77334147121184
1875808,2024-04-02,NABIL,437.0,440.0,432.0,436.0,26386.0,436.0,439.0,23.63023521175783,36.56138080569941,451.66499999999985,448.46159466442975
1875809,2024-04-03,NABIL,439.0,439.0,432.0,434.0,40271.0,434.0,436.0,21.054832695148047,35.32364485118386,450.44999999999993,447.0842999344841
1875810,2024-04-04,NABIL,434.0,436.0,432.7,434.0,37125.0,434.0,434.0,21.05483269514805,35.32364485118386,449.8499999999999,445.8381761311999
1875811,2024-04-07,NABIL,434.0,438.0,430.1,438.0,83715.0,438.0,434.0,39.91467223850192,40.03255421271357,449.6499999999999,445.0916831663237
1875812,2024-04-09,NABIL,446.7,446.7,432.0,439.0,51408.0,439.0,438.0,43.93296252722049,41.18543493102974,449.32499999999993,444.51152286476906
1875813,2024-04-10,NABIL,440.0,442.0,436.0,438.0,46883.0,438.0,439.0,40.66919167260994,40.350029367700856,448.73499999999996,443.89137783002917
1875814,2024-04-14,NABIL,438.0,446.0,436.6,438.0,37958.0,438.0,438.0,40.66919167260995,40.35002936770085,447.18499999999995,443.33029422716925
