symbol,id,date,open,high,low,close,volume,ltp,previous_closing,RSI_6,RSI_14,SMA_20,SMA_50,EMA_20,EMA_50,ATR_14,OBV,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,RSI_Signal,Trend_Signal,Final_Signal
BEDC,1651697,2024-12-29,692.9,730.0,690.0,699.0,48538.0,699.0,707.0,61.93513960848963,69.82132900851343,629.6550000000001,553.988,643.0131221636467,578.1974343145476,35.43172084762519,1919401.0,47.58882417883865,40.54634921208459,7.042474966754057,749.780675440345,629.6550000000001,509.5293245596552,HOLD,BUY,BUY
BFC,1623156,2024-12-29,688.0,688.0,632.2,638.9,101531.0,638.9,688.0,16.704695442612717,32.87447574231943,755.69,716.984,731.2862663500731,712.7461506705057,38.88170545130837,540724.0,-16.347146879630372,0.2356928587862663,-16.582839738416638,859.9455686762133,755.69,651.4344313237868,BUY,SELL,BUY
BHDC,1652509,2024-12-29,676.2,676.2,637.0,640.0,15926.0,640.0,663.0,39.75661485269639,47.271718672476105,651.2049999999999,637.6160000000001,652.1884325073831,642.3744126225836,28.991415029559324,285865.0,3.2793126275369104,3.801764378326701,-0.5224517507897901,677.5013476551371,651.2049999999999,624.9086523448627,HOLD,BUY,BUY
BHL,1653273,2024-12-29,371.8,371.8,346.0,349.9,19444.0,349.9,364.6,42.490296716398255,43.610516933489045,364.51499999999993,398.43,366.79880445264536,387.4577729171184,22.058476498411064,1422646.0,-10.277213117411977,-13.111042969708652,2.8338298522966774,399.4819715588912,364.51499999999993,329.54802844110867,HOLD,BUY,BUY
BHPL,1653884,2024-12-29,849.0,865.9,819.0,828.0,15397.0,828.0,850.0,50.43547766925152,55.79412294943775,801.85,749.4720000000002,807.1817923947151,765.8589865924099,44.504773133150046,361710.0,27.38067174597063,22.38430949593146,4.996362250039169,885.4770889126258,801.85,718.2229110873742,HOLD,BUY,BUY
BNHC,1654728,2024-12-29,476.0,485.0,472.0,475.0,14570.0,475.0,485.0,31.12775111206332,39.8536416234288,499.715,496.72399999999993,494.6991137389907,505.8330537035808,18.883355866077487,790155.0,-7.9146896938231635,-5.421078115119077,-2.493611578704086,534.0934976402334,499.715,465.33650235976665,HOLD,SELL,SELL
BNL,1655071,2024-12-29,16500.0,16500.0,16341.6,16341.6,20.0,16341.6,16675.0,39.56468909932676,44.02543646331686,16553.83,16813.134000000002,16654.27989487007,16845.812334798844,327.8322092734837,569.0,-89.73856253937629,-119.1092697170224,29.37070717764611,17012.597518902014,16553.83,16095.06248109799,HOLD,BUY,BUY
BNT,1655746,2024-12-29,14051.0,14490.0,14021.0,14050.0,392.0,14050.0,14051.0,41.928251464425735,44.69083851086458,14205.545000000002,14389.892,14182.385779758684,14337.589303170227,342.0204093595865,8371.0,-87.90598976082401,-82.38786793904596,-5.5181218217780525,14556.430049410525,14205.545000000002,13854.65995058948,HOLD,SELL,SELL
BOKD86,1656158,2024-12-23,1061.0,1080.0,1061.0,1068.0,395.0,1068.0,1050.0,74.93476589008986,64.16559887395957,1039.9,1029.1839999999995,1039.7663228189888,1027.722673130185,10.047543212015016,5384.0,4.687790672270012,3.5333501854280733,1.1544404868419385,1060.514654981385,1039.9,1019.2853450186146,SELL,SELL,STRONG SELL
BPCL,1660335,2024-12-29,390.0,397.8,375.5,389.0,26997.0,389.0,390.0,33.38157623951357,33.632063128154456,414.05,439.4839999999999,409.22414866945326,424.1630710358705,16.416890372625623,461140.0,-15.162376217375936,-13.42716966648256,-1.7352065508933752,459.6671678208981,414.05,368.432832179102,HOLD,SELL,SELL
