buy_signal,sell_signal,score,rank
1,0,1,5.5
1,0,1,12.0
1,0,1,10.5
0,0,0,124.0
1,0,1,13.0
1,0,1,10.0
0,0,0,135.0
0,0,0,134.0
0,0,0,135.5
0,0,0,144.5
0,0,0,144.0
0,0,0,148.0
0,0,0,152.0
0,0,0,153.0
0,0,0,150.0
0,0,0,150.5
0,0,0,146.5
0,0,0,147.0
0,0,0,145.5
0,0,0,146.0
0,0,0,140.5
0,0,0,146.0
0,0,0,149.0
0,0,0,141.5
0,0,0,134.5
0,0,0,114.0
0,0,0,106.5
0,0,0,102.0
0,0,0,112.5
0,0,0,118.0
0,0,0,123.0
0,0,0,126.5
0,0,0,121.0
0,0,0,114.0
0,0,0,103.0
0,0,0,92.0
0,0,0,102.5
0,0,0,93.5
0,1,-1,263.0
0,1,-1,284.5
0,1,-1,235.5
0,1,-1,231.5
0,1,-1,261.5
0,1,-1,277.0
0,1,-1,280.5
0,1,-1,300.5
0,0,0,146.5
0,0,0,144.0
0,1,-1,276.0
0,0,0,142.5
0,0,0,153.5
0,0,0,151.0
0,0,0,153.0
0,0,0,159.0
0,0,0,149.5
0,0,0,153.0
0,0,0,151.0
0,0,0,156.0
0,0,0,151.0
0,1,-1,267.0
0,0,0,164.5
0,1,-1,294.0
0,1,-1,294.0
0,0,0,196.0
0,0,0,188.5
0,0,0,175.5
0,0,0,162.0
0,0,0,165.5
0,0,0,205.5
1,0,1,88.5
0,0,0,218.0
0,0,0,219.5
0,0,0,219.0
0,0,0,200.0
0,1,-1,299.0
0,0,0,157.5
0,0,0,168.5
0,0,0,171.0
1,0,1,31.0
0,0,0,157.0
0,0,0,145.5
0,0,0,156.5
0,0,0,162.5
0,0,0,162.0
0,0,0,163.5
0,0,0,171.5
1,0,1,11.0
0,0,0,162.5
0,0,0,156.5
0,1,-1,290.0
0,1,-1,275.0
0,1,-1,265.0
0,1,-1,275.5
0,0,0,134.5
0,0,0,129.5
0,0,0,127.5
0,0,0,137.5
0,0,0,140.0
0,0,0,148.0
0,0,0,134.5
0,0,0,130.0
0,0,0,120.5
0,0,0,126.0
0,0,0,145.0
0,0,0,140.5
0,0,0,134.0
0,0,0,143.0
0,0,0,139.5
0,0,0,137.5
0,0,0,141.0
0,0,0,154.5
0,0,0,161.5
0,0,0,158.0
0,0,0,157.5
0,0,0,157.5
0,0,0,157.0
0,0,0,157.0
0,0,0,159.0
0,0,0,159.5
0,0,0,156.5
0,0,0,158.0
0,0,0,160.5
0,0,0,158.0
0,0,0,156.5
0,0,0,154.5
0,0,0,159.5
0,0,0,158.0
0,0,0,160.0
0,0,0,160.5
0,0,0,158.0
0,0,0,159.0
0,0,0,160.0
0,0,0,158.0
0,0,0,162.0
0,0,0,159.0
0,0,0,158.0
0,0,0,160.5
0,0,0,162.0
0,0,0,161.0
0,0,0,162.5
0,0,0,158.0
0,0,0,161.5
0,0,0,158.5
0,0,0,156.5
0,0,0,159.0
0,1,-1,303.0
0,1,-1,299.0
0,1,-1,301.0
0,1,-1,303.0
0,0,0,154.0
0,0,0,144.5
0,0,0,146.5
0,0,0,151.0
0,0,0,164.0
0,0,0,161.5
0,0,0,78.5
0,0,0,182.5
0,0,0,172.5
0,1,-1,283.0
0,1,-1,285.0
0,1,-1,288.0
0,0,0,152.0
0,0,0,171.0
0,0,0,185.5
0,0,0,174.0
0,0,0,181.5
0,0,0,182.5
0,0,0,194.5
0,0,0,189.0
0,0,0,172.5
0,0,0,164.5
0,0,0,158.0
0,0,0,158.0
0,0,0,157.0
0,0,0,145.5
0,0,0,156.0
0,0,0,152.5
0,0,0,142.5
0,0,0,153.0
0,0,0,170.5
0,0,0,180.0
0,0,0,180.0
0,0,0,173.5
0,0,0,154.5
0,0,0,147.0
0,0,0,153.0
0,0,0,144.5
0,0,0,144.5
