symbol,date,open,high,low,close,Candles_Present,Signal
KSBBL,2024-12-29,433.0,442.0,430.0,432.9,"['CDLDOJI', 'CDLGRAVESTONEDOJI', 'CDLHIGHWAVE', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHORTLINE', 'CDLSPINNINGTOP']",Bullish
KSBBLP,2024-12-22,186.0,186.0,186.0,186.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
KSLY,2024-11-26,11.73,11.73,11.73,11.73,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
KSY,2024-12-29,8.84,9.19,8.84,9.0,"['CDLDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish
LBBL,2024-12-29,485.0,485.0,473.7,473.7,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Neutral
LBBLD89,2024-12-12,1255.0,1255.0,1255.0,1255.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
LBBLPO,2024-10-27,261.0,261.0,261.0,261.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
LBLD86,2024-12-23,1135.0,1135.0,1135.0,1135.0,"['CDLDOJI', 'CDLSHORTLINE', 'CDLTRISTAR']",Neutral
LEC,2024-12-29,206.0,206.0,199.0,199.1,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Neutral
LEMF,2024-06-09,9.6,9.76,9.47,9.47,"['CDLDOJI', 'CDLDOJISTAR', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish
LICN,2024-12-29,1136.0,1160.0,1130.0,1145.0,"['CDLABANDONEDBABY', 'CDLMORNINGDOJISTAR', 'CDLMORNINGSTAR']",Bullish
LIFEINSU,2024-12-29,12493.74,12519.35,12408.94,12444.33,[],Neutral
LLBS,2024-12-29,1090.1,1171.0,1090.0,1124.0,['CDLBELTHOLD'],Neutral
LSL,2024-12-29,239.2,244.8,238.0,239.0,"['CDLDOJI', 'CDLGRAVESTONEDOJI', 'CDLHIGHWAVE', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHORTLINE', 'CDLSPINNINGTOP']",Bullish
LUK,2024-12-29,9.31,9.49,9.31,9.41,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
LVF2,2024-12-29,9.0,9.06,9.0,9.06,"['CDLDOJI', 'CDLGAPSIDESIDEWHITE', 'CDLSHORTLINE']",Neutral
MAKAR,2024-12-29,607.0,619.0,597.0,602.0,[],Neutral
MANDU,2024-12-29,892.0,910.0,882.0,882.1,['CDLSHOOTINGSTAR'],Bearish
MANUFACTURE,2024-12-29,6822.26,6859.85,6756.19,6762.54,[],Neutral
MATRI,2024-12-29,1255.0,1320.0,1247.1,1280.0,[],Neutral
MBJC,2024-12-29,334.0,335.0,328.2,330.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
MBL,2024-12-29,238.3,245.0,236.0,238.1,"['CDLDOJI', 'CDLGRAVESTONEDOJI', 'CDLHIGHWAVE', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHORTLINE', 'CDLSPINNINGTOP']",Bullish
MBLD2085,2024-11-14,1111.8,1170.0,1111.8,1170.0,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Neutral
MBLPO,2024-05-21,113.0,113.0,113.0,113.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
MCHL,2024-12-29,620.0,628.0,600.0,606.0,[],Neutral
MDB,2024-12-29,700.0,714.0,691.0,695.8,['CDLSPINNINGTOP'],Neutral
MDBPO,2024-11-27,379.0,379.0,379.0,379.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
